"Gender.F","Zone.1","Zone.2","Zone.3","Zone.4","Zone.5","Zone.6","Class.1","Class.2","Class.3","Class.4","Class.5","Class.6","BonusClass.1","BonusClass.2","BonusClass.3","BonusClass.4","BonusClass.5","BonusClass.6","OwnersAge","VehiculeAge","Duration","NumberClaims","ClaimFrequency"
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.151515151515152,0.50137,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0404040404040404,0.578082,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0505050505050505,0.386301,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0808080808080808,1.063014,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.131313131313131,0.413699,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0606060606060606,0.443836,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0909090909090909,0.235616,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.171717171717172,0.39726,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0505050505050505,0.334247,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.171717171717172,0.254795,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0909090909090909,0.221918,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.0707070707070707,0.893151,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0909090909090909,0.00274,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0808080808080808,0.994521,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.131313131313131,0.380822,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.101010101010101,1.430137,0,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.131313131313131,0.545205,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0131578947368421,0.0505050505050505,0.2,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.121212121212121,0.010959,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.131313131313131,0.279452,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.181818181818182,0.276712,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.121212121212121,0.99726,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.141414141414141,0.734247,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.101010101010101,0.969863,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0,0.60274,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0202020202020202,2.821918,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0505050505050505,2.939726,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0909090909090909,1.438356,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.121212121212121,7.660274,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0131578947368421,0.131313131313131,0.49589,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.0606060606060606,0.50137,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.0808080808080808,0.750685,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.101010101010101,2.868493,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.111111111111111,0.50137,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.191919191919192,0.553425,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.171717171717172,0.936986,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0808080808080808,1.00274,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0131578947368421,0.131313131313131,0.079452,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.0202020202020202,0.863014,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0131578947368421,0.121212121212121,0.934247,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.0404040404040404,0.649315,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0263157894736842,0.0707070707070707,0.071233,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.131313131313131,0.980822,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.0606060606060606,0.126027,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0263157894736842,0.0707070707070707,0.252055,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.0606060606060606,1.630137,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.0808080808080808,2.457534,1,0.406911969478347
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0263157894736842,0.0808080808080808,0.523288,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0263157894736842,0.0303030303030303,0.641096,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0263157894736842,0.0303030303030303,0.468493,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0263157894736842,0.0404040404040404,0.358904,0,0
